Priority Rank,Vertical,Niche,Data Product / Decision,Agent Job-to-be-Done,API Endpoint,HTTP Method,Request JSON,Response JSON,Update / Freshness,Student Name
1,Regulatory & Compliance,Compliance / Risk,AI Act / AI regulation applicability,Determine whether an AI use case falls under a regulation,POST /v1/compliance/ai-regulation/applicability,POST,"{""jurisdiction"":""EU"",""ai_system_type"":""customer_support"",""risk_context"":""employment""}","{""applicable"":true,""risk_category"":""high"",""obligations"":[""risk_management"",""transparency""],""effective_date"":""2026-08-01"",""confidence"":0.97,""sources"":[{""id"":""SRC-001""}]}",daily,
2,Regulatory & Compliance,Privacy,GDPR / privacy obligation lookup,Identify applicable privacy obligations for a processing activity,POST /v1/privacy/obligations,POST,"{""jurisdiction"":""EU"",""processing"":""customer_profiling"",""data_categories"":[""email"",""behavioral""]}","{""obligations"":[{""name"":""DPIA"",""required"":true},{""name"":""lawful_basis"",""required"":true}],""confidence"":0.97,""sources"":[{""id"":""SRC-001""}]}",daily,
3,Regulatory & Compliance,Vendor Risk,Vendor security/compliance status,Check whether a vendor has specified certifications,GET /v1/vendors/compliance,GET,"{""vendor"":""Acme Corp""}","{""vendor"":""Acme Corp"",""certifications"":[""SOC2_TYPE_II"",""ISO27001""],""valid_until"":""2027-03-31"",""confidence"":0.94,""sources"":[{""id"":""SRC-002""}]}",daily,
4,Regulatory & Compliance,AI Governance,AI control / policy mapping,Map an AI use case to governance controls,POST /v1/ai-governance/control-map,POST,"{""framework"":""NIST_AI_RMF"",""use_case"":""automated_credit_decision""}","{""controls"":[{""id"":""GOV-1"",""reason"":""document intended use""}],""gaps"":[""human_oversight""],""confidence"":0.95}",weekly,
5,Regulatory & Compliance,Sanctions,Sanctions screening,Check an entity against sanctions/watchlists,POST /v1/sanctions/screen,POST,"{""name"":""Example Trading LLC"",""country"":""AE"",""identifiers"":{""registration"":""12345""}}","{""match"":false,""risk_score"":0.02,""matched_lists"":[],""checked_at"":""2026-08-17T10:00:00Z""}",hourly,
6,Regulatory & Compliance,Export Control,Export-control classification,Determine whether a product/transaction needs export authorization,POST /v1/export-control/check,POST,"{""origin"":""US"",""destination"":""AE"",""product_code"":""8471.30"",""end_use"":""commercial""}","{""controlled"":false,""license_required"":false,""regimes_checked"":[""EAR""],""confidence"":0.94}",daily,
7,Regulatory & Compliance,Regulatory Change,Regulatory change detection,Detect material regulatory changes,GET /v1/regulatory/changes,GET,"{""jurisdiction"":""EU"",""topic"":""AI"",""since"":""2026-08-01""}","{""changes"":[{""id"":""CHG-1"",""title"":""New obligation"",""effective_date"":""2026-09-01"",""impact"":""high""}]}",hourly,
8,Finance & Banking,Investment Research,Company financial facts,Retrieve normalized company financial metrics,GET /v1/finance/company/metrics,GET,"{""ticker"":""AAPL"",""period"":""2026-Q2""}","{""company"":""Apple Inc."",""period"":""2026-Q2"",""revenue"":94000000000,""net_income"":25000000000,""currency"":""USD"",""source"":""filing""}",quarterly,dania waseem
9,Finance & Banking,Markets,FX spot/reference rate,Retrieve current FX rate,GET /v1/finance/fx,GET,"{""base"":""USD"",""quote"":""EUR""}","{""base"":""USD"",""quote"":""EUR"",""rate"":0.92,""as_of"":""2026-08-17T10:00:00Z"",""source"":""provider""}",seconds,shazil bari 
10,Finance & Banking,Markets,Market news event,Detect market-moving company events,GET /v1/finance/events,GET,"{""ticker"":""AAPL"",""since"":""2026-08-17T00:00:00Z""}","{""events"":[{""type"":""earnings"",""severity"":""high"",""published_at"":""2026-08-17T09:00:00Z"",""summary"":""...""}]}",minutes,
